"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Am07g25910",48.9117238036633,0.412167868268646,0.466289133309816,0.88393196157713,0.376732942448478,0.63130959068079
"Am01g63610",23.4861135307152,-0.441696860210964,0.499701363848185,-0.883921662349429,0.376738502538254,0.63130959068079
"Am08g01870",14.751199270342,0.789162350970936,0.892831628871656,0.883887090747743,0.376757166561093,0.63130959068079
"Am02g21860",3.340206949763,1.10269959103311,1.24776189838698,0.883741996336484,0.376835504280485,0.631383204866933
"Am04g20930",2176.1870343448,-0.161341422608031,0.182582461722546,-0.883663310735764,0.376877991513531,0.631383204866933
"Am05g17330",392.256492061633,-0.136084136846795,0.154001500605205,-0.883654615779731,0.376882686640505,0.631383204866933
"Am02g54730",65.6697426553684,-0.313330444629785,0.354632883217163,-0.883534662063232,0.37694746326964,0.631446158255859
"Am05g25900",260.211962273847,0.203693648204484,0.230583730532796,0.883382568812734,0.377029605553071,0.631472159174666
"Am08g28490",422.396376736557,0.199542285079039,0.225894193256849,0.883344021385063,0.377050425940312,0.631472159174666
"Am01g53920",55.2064889547101,-0.34889219589771,0.394973211514756,-0.88333128862,0.377057303366892,0.631472159174666
"Am07g14900",2.84853849345328,1.22364681946655,1.38536017591321,0.883269810076605,0.377090511238457,0.631472159174666
"Am02g38170",1668.92766322936,-0.148482972870506,0.168116888052426,-0.883212713431875,0.377121353825703,0.631472159174666
"Am01g24660",33.7698323053484,0.476233786438584,0.539211676324664,0.883203772004076,0.37712618396609,0.631472159174666
"Am06g02970",2.43010067974643,1.5064317207896,1.7057584782625,0.883144794522177,0.377158044432646,0.631479962465622
"Am08g11880",1644.23303496276,0.208891052531582,0.236558537975513,0.883041695807257,0.377213743796948,0.631527675487845
"Am01g48950",735.913752099861,0.132588211182255,0.150163739035723,0.882957577066678,0.37725919293462,0.631558222034189
"Am02g11770",534.901019076624,0.142788555538246,0.16177076049483,0.882659852135702,0.377420080061376,0.63177965844884
"Am02g35980",291.857121241887,0.239831643801896,0.271729388478848,0.882612091185581,0.377445893465085,0.63177965844884
"Am03g28340",593.165315819296,0.163273729431686,0.185014327705261,0.882492353196511,0.377510613147521,0.63184243348229
"Am02g13110",1.87091560496617,-1.51554707416076,1.71740698153409,-0.88246239269796,0.377526808191846,NA
"Am04g29240",261.373255011534,0.234889534710175,0.266240479768382,0.882245761104844,0.377643920394418,0.63201998672699
"Am05g17280",1.67700950742463,2.37993813834869,2.69763319460173,0.882231929497018,0.377651398596148,NA
"Am03g02480",381.024758860755,0.169156495826366,0.191752740692068,0.882159468573182,0.377690576834814,0.632052507157575
"Am02g19340",1454.73669082109,-0.14151536222684,0.160437858990943,-0.882057159805581,0.377745897497306,0.632099521140079
"Am08g25700",8.98029031879251,0.710575742260791,0.805703241769581,0.881932336154116,0.377813399227659,0.632155443621033
"Am01g34880",18.1629862104879,0.513003911020926,0.581706563056962,0.881894658923921,0.377833775658401,0.632155443621033
"Am04g43310",41.455531515552,0.482584614615076,0.547365862591983,0.881649089933845,0.377966599766031,0.632331613239207
"Am03g44390",757.404093308699,0.130525759264602,0.14805565542637,0.881599280275479,0.377993544475091,0.632331613239207
"Am04g26250",17.833842938911,0.562358001495002,0.637963778488853,0.881488919052836,0.378053248979924,0.63238592321622
"Am01g29110",5621.15845747281,-0.274720171208067,0.311675817255924,-0.881429215865303,0.3780855503296,0.632394390234293
